Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003
"06037206031","14000US06037206031","Census Tract 2060.31","Census Tract 2060.31, Los Angeles County, California","ca","140","00","ACSSF","0004403",,,,,"06","037",,,,"206031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4131,2329.954,1.77299663164463
"06037206032","14000US06037206032","Census Tract 2060.32","Census Tract 2060.32, Los Angeles County, California","ca","140","00","ACSSF","0004404",,,,,"06","037",,,,"206032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5687,15357.59,0.370305576705375
"06037206050","14000US06037206050","Census Tract 2060.50","Census Tract 2060.50, Los Angeles County, California","ca","140","00","ACSSF","0004405",,,,,"06","037",,,,"206050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031,3200.792,0.634530353036385
"06037206200","14000US06037206200","Census Tract 2062","Census Tract 2062, Los Angeles County, California","ca","140","00","ACSSF","0004406",,,,,"06","037",,,,"206200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,17905.72,0.22344813952806
"06037206300","14000US06037206300","Census Tract 2063","Census Tract 2063, Los Angeles County, California","ca","140","00","ACSSF","0004407",,,,,"06","037",,,,"206300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6103,25632.92,0.23809222282111
"06037207101","14000US06037207101","Census Tract 2071.01","Census Tract 2071.01, Los Angeles County, California","ca","140","00","ACSSF","0004408",,,,,"06","037",,,,"207101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3717,32070.39,0.115901309195255
"06037207102","14000US06037207102","Census Tract 2071.02","Census Tract 2071.02, Los Angeles County, California","ca","140","00","ACSSF","0004409",,,,,"06","037",,,,"207102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926,18259,0.160249777219045
"06037207103","14000US06037207103","Census Tract 2071.03","Census Tract 2071.03, Los Angeles County, California","ca","140","00","ACSSF","0004410",,,,,"06","037",,,,"207103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393,19121.47,0.125147297979759
"06037207301","14000US06037207301","Census Tract 2073.01","Census Tract 2073.01, Los Angeles County, California","ca","140","00","ACSSF","0004411",,,,,"06","037",,,,"207301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4911,29572.85,0.166064475974406
"06037207302","14000US06037207302","Census Tract 2073.02","Census Tract 2073.02, Los Angeles County, California","ca","140","00","ACSSF","0004412",,,,,"06","037",,,,"207302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806,48594.88,0.0988992999195363
"06037207400","14000US06037207400","Census Tract 2074","Census Tract 2074, Los Angeles County, California","ca","140","00","ACSSF","0004413",,,,,"06","037",,,,"207400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539,4618.992,0.333189574623512
"06037207501","14000US06037207501","Census Tract 2075.01","Census Tract 2075.01, Los Angeles County, California","ca","140","00","ACSSF","0004414",,,,,"06","037",,,,"207501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2193,42283.71,0.0518639468599855
"06037207502","14000US06037207502","Census Tract 2075.02","Census Tract 2075.02, Los Angeles County, California","ca","140","00","ACSSF","0004415",,,,,"06","037",,,,"207502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888,17878.21,0.161537427972639
"06037207710","14000US06037207710","Census Tract 2077.10","Census Tract 2077.10, Los Angeles County, California","ca","140","00","ACSSF","0004416",,,,,"06","037",,,,"207710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4667,10976.42,0.425184209347688
"06037207900","14000US06037207900","Census Tract 2079","Census Tract 2079, Los Angeles County, California","ca","140","00","ACSSF","0004417",,,,,"06","037",,,,"207900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7162,20540.73,0.348673044044992
"06037208000","14000US06037208000","Census Tract 2080","Census Tract 2080, Los Angeles County, California","ca","140","00","ACSSF","0004418",,,,,"06","037",,,,"208000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7508,20022.89,0.374970849285788
"06037208301","14000US06037208301","Census Tract 2083.01","Census Tract 2083.01, Los Angeles County, California","ca","140","00","ACSSF","0004419",,,,,"06","037",,,,"208301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148,59849.33,0.0358901276762672
"06037208302","14000US06037208302","Census Tract 2083.02","Census Tract 2083.02, Los Angeles County, California","ca","140","00","ACSSF","0004420",,,,,"06","037",,,,"208302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5269,31017.36,0.16987260172634
"06037208401","14000US06037208401","Census Tract 2084.01","Census Tract 2084.01, Los Angeles County, California","ca","140","00","ACSSF","0004421",,,,,"06","037",,,,"208401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765,53733.02,0.0886791753475306
"06037208402","14000US06037208402","Census Tract 2084.02","Census Tract 2084.02, Los Angeles County, California","ca","140","00","ACSSF","0004422",,,,,"06","037",,,,"208402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2896,22012.05,0.131564316128106
